,ID,Platform,Name,Description,Keywords,Licenses,Repository URL,Versions Count,Dependent Projects Count,Status,Dependent Repositories Count,Repository ID,Repository Host Type,Repository Name with Owner,Repository Description,Repository Fork?,Repository Stars Count,Repository License,Repository Status,Repository Keywords,Binding Host,Homepage URL,Homepage Domain,Binding Host Normalized,Binding Host Normalized - No Space,Host Repo IDs,is official,Type
14037,163102,npm,jubatus,Jubatus client for Node.js (unofficial),jubatus,MIT,https://github.com/naokikimura/jubatus-node-client,26,1,,3,110409,GitHub,naokikimura/jubatus-node-client,Jubatus client for Node.js (unofficial),False,7.0,MIT,,"javascript,jubatus,messagepack,messagepack-rpc,msgpack,nodejs",Jubatus,https://github.com/naokikimura/jubatus-node-client,github,jubatus,jubatus,['703673'],community,Binding
14180,164861,npm,ksks,Ken Sheedlo's Keystone client,"keystone,openstack,identity,auth,rackspace",MIT,https://github.com/ksheedlo/ksks,3,0,,1,111589,GitHub,ksheedlo/ksks,Ken Sheedlo's Keystone client,False,0.0,,,,Keystone,https://github.com/ksheedlo/ksks,github,keystone,keystone,['663727'],community,Binding
14396,167596,npm,logsmith,Simple logging wrapper around winston.,"log,winston",MIT,https://github.com/websecurify/node-logsmith,1,5,,16,113135,GitHub,websecurify/node-logsmith,,False,1.0,MIT,Unmaintained,,winston,,,winston,winston,['72007'],community,Binding
14506,168471,npm,mango,Mango API client for node.js,"Mango,API",MIT,https://github.com/mango/mango-node,5,2,,5,113738,GitHub,Mango/mango-node,This is the Node.js library that allows interaction with Mango API,False,11.0,,,,Mango,https://github.com/mango/mango-node,github,mango,mango,['19555071'],community,Binding
14522,168814,npm,maru-curl,Maru curl(1) package,maru,MIT,,1,2,,0,,,,,,,,,,Maru,,,maru,maru,['36518918'],community,Binding
14596,169819,npm,mercury-binding,A node.js interface to the Mercury language,"mercury,binding",Other,https://github.com/sebgod/mercury-node,4,1,,0,114390,GitHub,sebgod/mercury-node,A native Node.js binding for Mercury,False,1.0,LGPL-3.0,,,Mercury,https://github.com/sebgod/mercury-node,github,mercury,mercury,['23163788'],community,Binding
14981,174349,npm,ngsense_util,rainbow wireless utility library for UTM native interface,,BSD-2-Clause,,28,1,,0,,,,,,,,,,rainbow,,,rainbow,rainbow,"['29176751', '31379301']",community,Binding
15102,174943,npm,node-eos,nodejs client for eos,"eos,node",ISC,https://github.com/ulyn/node-eos,16,1,,0,117827,GitHub,ulyn/node-eos,eos client for node.js,False,6.0,,,,eos,https://github.com/ulyn/node-eos,github,eos,eos,['2700852'],community,Binding
15287,175696,npm,node-remote-api-netflix,Netflix plugin for Node Remote,,MIT,https://github.com/dougflip/node-remote-api-netflix,2,2,,0,118325,GitHub,dougflip/node-remote-api-netflix,Netflix plugin for NodeRemoteApi,False,1.0,,,,Netflix,https://github.com/dougflip/node-remote-api-netflix,github,netflix,netflix,['3727191'],community,Binding
15495,176653,npm,nodeschnaps,A NodeJS compatibility layer for Java (Rhino).,"node,nodejs,java,rhino,rhinojs,compatibility,Pentaho Data-Integration,Kettle",LGPL-3.0,https://github.com/killmag10/nodeschnaps,19,2,,0,119031,GitHub,killmag10/nodeschnaps,A NodeJS compatibility layer for Java Javscript engines like Rhino,False,13.0,LGPL-3.0,,,Rhino,http://killmag10.github.io/nodeschnaps/,github,rhino,rhino,['37544204'],community,Binding
15694,178575,npm,opencv,Node Bindings to OpenCV,"opencv,computer,vision,quadrocopter",MIT,https://github.com/peterbraden/node-opencv,30,61,,307,120303,GitHub,peterbraden/node-opencv,OpenCV Bindings for node.js,False,3893.0,MIT,,,OpenCV,https://github.com/peterbraden/node-opencv,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
15742,178973,npm,oryx-js,Node module to communicate with an instance of Oryx,Oryx,ISC,https://github.com/BucketMovie/oryx-js,6,2,,0,120564,GitHub,BucketMovie/oryx-js,A node module to communicate with Oryx,False,0.0,,,,Oryx,https://github.com/BucketMovie/oryx-js,github,oryx,oryx,"['172689', '279980']",community,Binding
16052,182240,npm,predictionio,PredictionIO Node SDK,,BSD-2-Clause,https://github.com/ShaunBaker/PredictionIO-Node-SDK,7,1,,1,122722,GitHub,ShaunBaker/PredictionIO-Node-SDK,PredictionIO Node SDK,False,63.0,,,,PredictionIO,http://prediction.io,prediction,predictionio,predictionio,['573443'],community,Binding
16204,183766,Rubygems,bog,A tool for managing cloud API and configuration management credentials. rbenv for dotfiles.,,GPL-3.0,https://github.com/opsunit/bog,9,0,,0,298444,GitHub,opsunit/bog,A tool for managing cloud API and configuration management credentials. rbenv for dotfiles.,False,7.0,GPL-3.0,,"aws,devops,dotfiles,profile,sre",cloud,https://github.com/opsunit/bog,github,cloud,cloud,"['24218227', '36852984']",community,Binding
16210,183804,Rubygems,boltstrap-rails,Bolt Framework for Rails,,MIT,https://github.com/Boltech/boltstrap-rails,13,0,,0,298461,GitHub,Boltech/boltstrap-rails,Boltstrap for Rails Asset Pipeline,False,0.0,MIT,Removed,,Bolt,https://github.com/Boltech/boltstrap-rails,github,bolt,bolt,"['19562400', '40784040']",community,Binding
16273,184153,Rubygems,bors,Wrapper for the Vowpal Wabbit library,,MIT,https://github.com/rodeoclash/bors,4,0,,1,298631,GitHub,Rodeoclash/bors,Wrapper for the VowpalWabbit library,False,10.0,MIT,,,Vowpal Wabbit,http://github.com/rodeoclash/bors,github,vowpal wabbit,vowpalwabbit,"['852009', '39434262']",community,Binding
16333,184558,Rubygems,brendan-skynet,Skynet - A Ruby Map/Reduce Framework,,,,22,0,,0,,,,,,,,,,Skynet,http://skynet.rubyforge.org,rubyforge,skynet,skynet,['36670396'],community,Binding
17063,190069,Rubygems,commonjs-rhino,"CommonJS support for Rhino, in Ruby.",,,,1,0,,1,,,,,,,,,,Rhino,http://github.com/camertron,github,rhino,rhino,['37544204'],community,Binding
17173,191151,Rubygems,cortex-client,Cortex API Client,,Apache-2.0,https://github.com/cortex-cms/cortex-client-ruby,33,2,,2,3692584,GitHub,cortex-cms/cortex-client-ruby,Cortex Ruby API Client,False,0.0,Apache-2.0,,,Cortex,https://github.com/cortex-cms/cortex-client-ruby,github,cortex,cortex,"['14427917', '38011472']",community,Binding
17931,196484,Rubygems,dub,This is a tool to ease the creation of scripting language bindings for a C++ library.     It is currently developed to crete the OpenCV bindings for Lua in Rubyk (http://rubyk.org). The generator uses the xml output from Doxygen to avoid parsing C++ code by itself.,,,,11,0,,0,,,,,,,,,,OpenCV,http://rubyk.org/en/project311.html,rubyk,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
18138,199080,Rubygems,esp_sdk,SDK for interacting with the ESP API.,,MIT,https://github.com/EvidentSecurity/esp_sdk,18,0,,2,623253,GitHub,EvidentSecurity/esp_sdk,ESP SDK,False,6.0,MIT,,,ESP,https://github.com/EvidentSecurity/esp_sdk,github,esp,esp,['4702225'],community,Binding
18703,216043,Rubygems,jubatus,Jubatus is a distributed processing framework and streaming machine learning library. This is the Jubatus client in Ruby.,,MIT,,21,1,,13,,,,,,,,,,Jubatus,http://jubat.us,jubat,jubatus,jubatus,['703673'],community,Binding
18706,216060,Rubygems,juggernaut-kafka,Juggernaut client that works with Apache Kafka,,MIT,https://github.com/yankov/juggernaut-kafka,1,0,,0,138086,GitHub,yankov/juggernaut-kafka,"Realtime server push with node.js, WebSockets and Comet",True,16.0,MIT,,,Juggernaut,http://github.com/yankov/juggernaut-kafka,github,juggernaut,juggernaut,['23113977'],community,Binding
19268,220836,Rubygems,machineshop,Wraps the machineshop API.,,,,8,0,,0,,,,,,,,,,machineshop,,,machineshop,machineshop,['36779700'],community,Binding
19279,220900,Rubygems,mac-spotlight,Spotlight - Ruby interface to Mac OSX Spotlight,,MIT,https://github.com/xli/spotlight,4,0,,0,315507,GitHub,xli/spotlight,Ruby interface to Mac OSX Spotlight,False,7.0,MIT,,,Spotlight,https://github.com/xli/spotlight,github,spotlight,spotlight,['25461407'],community,Binding
19360,221382,Rubygems,maluuba_napi,MaluubaNapi allows you to easily consume Maluuba's NLP API,,,https://github.com/Maluuba/napi-ruby,1,0,,1,315743,GitHub,Maluuba/napi-ruby,A simple Ruby wrapper for the Maluuba nAPI.,False,59.0,,Removed,,NLP,http://github.com/Maluuba/napi-ruby,github,nlp,nlp,"['22309865', '31964017', '38155979']",community,Binding
19361,221383,Rubygems,maluuba_napi2,MaluubaNapi allows you to easily consume Maluuba's NLP API,,,https://github.com/Maluuba/napi-ruby,1,1,,1,315743,GitHub,Maluuba/napi-ruby,A simple Ruby wrapper for the Maluuba nAPI.,False,59.0,,Removed,,NLP,http://github.com/Maluuba/napi-ruby,github,nlp,nlp,"['22309865', '31964017', '38155979']",community,Binding
19375,221464,Rubygems,mango-ruby,API to interact with Mango https://getmango.com/,,MIT,,5,0,,1,,,,,,,,,,Mango,https://getmango.com/,getmango,mango,mango,['19555071'],community,Binding
19376,221503,Rubygems,mantis_bug_reporter,"Ties into Mantis api to create issues, add notes, and update issues.",,MIT,https://github.com/mangantj/mantis_bug_reporter,1,0,,0,315802,GitHub,mangantj/mantis_bug_reporter,,False,0.0,MIT,,,Mantis,https://github.com/mangantj/mantis_bug_reporter,github,mantis,mantis,['8640913'],community,Binding
19408,221740,Rubygems,markisisme-rtimbl,Ruby wrapper for TiMBL machine-learning library,,,https://github.com/markisisme/rtimbl,1,0,,0,,,,,,,,,,TiMBL,http://github.com/markisisme/rtimbl,github,timbl,timbl,['3937010'],community,Binding
19419,221844,Rubygems,martlet,"Ruby client for McGill's student portal, Minerva.",,MIT,https://github.com/alexcoco/martlet,8,0,,0,315960,GitHub,alexcoco/martlet,Ruby client for McGill's Minerva,False,21.0,MIT,,,Minerva,https://github.com/alexcoco/martlet,github,minerva,minerva,"['757813', '30438143']",community,Binding
19541,222644,Rubygems,megalopolis,Megalopolis API wrapper for Ruby,,,,5,1,,1,,,,,,,,,,Megalopolis,,,megalopolis,megalopolis,['16541810'],community,Binding
20339,228243,Rubygems,netflix4r,a ruby client for the NetFlix API,,MIT,https://github.com/rossnelson/netflix4r,6,0,,2,318764,GitHub,rossnelson/netflix4r,a port of http://code.google.com/p/flix4r/,False,8.0,MIT,,,NetFlix,http://github.com/rossnelson/netflix4r,github,netflix,netflix,['3727191'],community,Binding
20353,228314,Rubygems,net-ntp-next,NTP client library with improved functionality.,,Unlicense,https://github.com/davispuh/net-ntp-next,2,0,,0,43317,GitHub,davispuh/net-ntp-next,"NTP client library for Ruby, improved version of net-ntp",False,1.0,Unlicense,,,NTP,https://github.com/davispuh/net-ntp-next,github,ntp,ntp,['32528693'],community,Binding
20391,228422,Rubygems,neura-client,Neura client is a ruby client for the neura's custom device api,,,,2,0,,0,,,,,,,,,,Neura,http://client.theneura.com,theneura,neura,neura,['28908379'],community,Binding
20502,229006,Rubygems,nltk-ruby,A ruby port of the famous NLTK Python suite of libraries,,,https://github.com/ludamillion/nltk-ruby,1,0,,0,319071,GitHub,gregors/nltk-ruby,A Ruby port of the famous Natural Language Toolkit Python suite of libraries,False,3.0,,,,NLTK,https://github.com/ludamillion/nltk-ruby,github,nltk,nltk,['845081'],community,Binding
20837,231281,Rubygems,onyx_client,Onyx(Image search service) client,,MIT,https://github.com/pedrolinhares/onyx_client,1,0,,0,320181,GitHub,pedrolinhares/onyx_client,Onyx Client,False,0.0,MIT,,,Onyx,http://github.com/pedrolinhares/onyx_client,github,onyx,onyx,['12371802'],community,Binding
20873,231400,Rubygems,opencv,OpenCV wrapper for Ruby,,,,2,2,,8,,,,,,,,,,OpenCV,http://blueruby.mydns.jp/opencv,mydns,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
20876,231404,Rubygems,opencv-ffi,A wrapper around OpenCV's C interface using Ruby FFI.,,,https://github.com/amarburg/opencv-ffi,1,1,,1,320232,GitHub,amarburg/opencv-ffi,Wrapper around OpenCV library using nice-ffi,False,13.0,,,,OpenCV,http://github.com/amarburg/opencv-ffi,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
20984,231870,Rubygems,orca-pip,Adds Python Pip package support to Orca,,MIT,https://github.com/nkostelnik/orca-pip,1,0,,0,320401,GitHub,nkostelnik/orca-pip,,False,0.0,MIT,,,Orca,https://github.com/nkostelnik/orca-pip,github,orca,orca,['7046644'],community,Binding
21055,232280,Rubygems,oxygen,SIMD for Ruby,,,,1,0,,0,,,,,,,,,,SIMD,,,simd,simd,['3406299'],community,Binding
21509,235166,Rubygems,pngnq,A Ruby wrapper around pngnq's command-line interface.,,MIT,https://github.com/kreeger/pngnq,1,0,,1,321882,GitHub,kreeger/pngnq,A Ruby wrapper around pngnq's command-line interface.,False,1.0,MIT,,,pngnq,https://github.com/kreeger/pngnq,github,pngnq,pngnq,['2370348'],community,Binding
21567,235546,Rubygems,poseidon-api,An API to interact with the Poseidon system,,MIT,https://github.com/apslab/poseidon-api,2,0,,0,44190,GitHub,apslab/poseidon-api,API para la interacción con el sistema Poseidon,False,0.0,MIT,,,Poseidon,https://github.com/apslab/poseidon-api,github,poseidon,poseidon,['13388808'],community,Binding
21623,235919,Rubygems,predictable,"Ruby/Rails DSL for Prediction.io, an open source machine learning server.",,MIT,https://github.com/jsboulanger/predictable,2,0,,0,322244,GitHub,jsboulanger/predictable,A Ruby/Rails DSL for PredictionIO,False,24.0,MIT,,,Prediction.io,https://github.com/jsboulanger/predictable,github,prediction io,predictionio,['573443'],community,Binding
21625,235923,Rubygems,predictionio,PredictionIO is an open source machine learning server for developers and data scientists to create predictive engines for production environments. This gem provides convenient access to the PredictionIO API for Ruby programmers so that you can focus on application logic. ,,Apache-2.0,https://github.com/apache/incubator-predictionio-sdk-ruby,14,1,,22,44252,GitHub,apache/predictionio-sdk-ruby,PredictionIO Ruby SDK,False,191.0,Apache-2.0,,,PredictionIO,http://prediction.io/,prediction,predictionio,predictionio,['573443'],same_repo_owner,Binding
22074,240279,Rubygems,rares-netflix,This gem handles some of the complexity in dealing with the netflix api (and OAuth in turn).,,,,1,0,,0,,,,,,,,,,netflix,http://www.robares.com,robares,netflix,netflix,['3727191'],community,Binding
22129,240541,Rubygems,rbind,Rbind is developed to automatically generate ruby bindings for OpenCV but is not tight to this library.This gem is still under heavy development and the API might change in the future.,,,https://github.com/D-Alex/rbind,28,1,,4,324393,GitHub,D-Alex/rbind,ruby library for automatically generating ruby ffi bindings for c/c++ libs,False,5.0,,,,OpenCV,http://github.com/D-Alex/rbind,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
22689,244336,Rubygems,rocket-js,This library is client that allows JavaScript clients to connect to the Rocket web socket server.,,MIT,https://github.com/araneo/rocket,4,1,,0,326054,GitHub,araneo/rocket,Event-oriented WebSockets server and toolkit.,False,7.0,MIT,,,Rocket,http://github.com/araneo/rocket,github,rocket,rocket,['40247662'],community,Binding
22852,245496,Rubygems,rtimbl,rtimbl provides Ruby language bindings to the TiMBL machine learning library.  See the README for more information.,,,https://github.com/markisisme/rtimbl,1,0,,0,,,,,,,,,,TiMBL,http://github.com/markisisme/rtimbl,github,timbl,timbl,['3937010'],community,Binding
22988,246149,Rubygems,ruby-fann,Bindings to use FANN from within ruby/rails environment,,,https://github.com/tangledpath/ruby-state-machine,22,4,,41,45500,GitHub,tangledpath/ruby-state-machine,"A full-featured state machine gem for use within ruby.  It can be used within Rails, but Rails is not required.",False,5.0,,,,FANN,http://github.com/tangledpath/ruby-fann,github,fann,fann,"['852353', '27851746']",community,Binding
23124,246525,Rubygems,ruby-nmap,"A Ruby interface to Nmap, the exploration tool and security / port scanner.",,MIT,https://github.com/sophsec/ruby-nmap,15,9,,61,562823,GitHub,sophsec/ruby-nmap,A Rubyful interface to the Nmap exploration tool and security / port scanner.,False,213.0,MIT,,,Nmap,https://github.com/sophsec/ruby-nmap,github,nmap,nmap,['852438'],community,Binding
23139,246564,Rubygems,ruby-opencv,ruby-opencv is a wrapper of OpenCV for Ruby. It helps you to write computer vision programs (e.g. detecting faces from pictures) with Ruby.,,BSD-3-Clause,https://github.com/ruby-opencv/ruby-opencv,19,13,,107,327063,GitHub,ruby-opencv/ruby-opencv,Versioned fork of the OpenCV gem for Ruby,True,677.0,BSD-3-Clause,,,OpenCV,https://github.com/ruby-opencv/ruby-opencv/,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
23205,246780,Rubygems,ruby_skynet,Ruby Client for invoking Skynet services,,Apache-2.0,https://github.com/ClarityServices/ruby_skynet,29,0,,0,,,,,,,,,,Skynet,https://github.com/ClarityServices/ruby_skynet,github,skynet,skynet,['36670396'],community,Binding
23894,251662,Rubygems,simple_tesseract,tesseract ruby bindings,,,https://github.com/shurizzle/simple_tesseract,3,0,,0,329336,GitHub,shurizzle/simple_tesseract,tesseract ruby bindings,False,0.0,,,,tesseract,http://github.com/shurizzle/simple_tesseract,github,tesseract,tesseract,['852560'],community,Binding
23985,252516,Rubygems,skynet,Skynet - A Ruby Map/Reduce Framework,,,,3,0,,0,,,,,,,,,,Skynet,http://skynet.rubyforge.org,rubyforge,skynet,skynet,['36670396'],community,Binding
24137,253327,Rubygems,snowleopard-ncurses,"Updated for Snow Leopard ruby 1.9.2 (Ralf Papenkordt). This wrapper provides access to the functions, macros, global variables and constants of the ncurses library. These are mapped to a Ruby Module named Ncurses.",,,,1,1,,0,,,,,,,,,,Snow Leopard,http://totalrecall.wordpress.com,wordpress,snow leopard,snowleopard,['32805588'],community,Binding
24254,253888,Rubygems,spark_api,"The spark_api gem handles most of the boilerplate for communicating with the Spark API rest services, including authentication and request parsing.",,Apache-2.0,https://github.com/sparkapi/spark_api,59,0,,4,278703,GitHub,sparkapi/spark_api,Ruby client library for communication with the Spark API ,False,54.0,Other,,,spark,https://github.com/sparkapi/spark_api,github,spark,spark,"['11846538', '27909023', '38722051']",community,Binding
